number,species,site,region,sequence,crown.exp,canopy_scope,mode,X9,seen
cacoz_20_1,caco,gzt20_1,ZT,1,2.5,14.5,TT,NA,1
smbrz_20_1,smbr,gzt20_1,ZT,1,4,17,TT,NA,1
aeacz_20_1,aeac,gzt20_1,ZT,1,2.5,8.5,AAR,NA,1
pisiz_20_1,pisi,gzt20_1,ZT,1,2.5,9,AAR,NA,1
fiolz_20_2,fiol,gzt20_2,ZT,2,1,5,TB,NA,1
smbrz_20_2,smbr,gzt20_2,ZT,2,1,5,TT,NA,1
tebiz_20_2,tebi,gzt20_2,ZT,2,1,5,TT,NA,1
stob_20_2,stob,gzt20_2,ZT,2,1,5,TS,NA,1
smlaz_20_2,smla,gzt20_2,ZT,2,1,6.5,TT,NA,1
smbrz_20_3,smbr,gzt20_3,ZT,3,1,5,TT,NA,1
smlaz_20_3,smla,gzt20_3,ZT,3,1.5,4,TT,NA,1
fisaz_20_3,fisa,gzt20_3,ZT,3,1,3,AAR,NA,1
aeacz_20_3,aeac,gzt20_3,ZT,3,1,3,AAR,NA,1
smlaz_20_4,smla,gzt20_4,ZT,4,2,12,TT,NA,1
hyviz_20_4,hyvi,gzt20_4,ZT,4,2,7.5,AAR,NA,1
smbrz_20_4,smbr,gzt20_4,ZT,4,2,7.5,TT,NA,1
tebiz_20_4,tebi,gzt20_4,ZT,4,1.5,6.5,TT,NA,1
pssez_20_4,psse,gzt20_4,ZT,4,1,3,AAR,NA,1
pisiz_20_4,pisi,gzt20_4,ZT,4,1,2.5,AAR,NA,1
aeacz_20_4,aeac,gzt20_4,ZT,4,2,7.5,AAR,NA,1
fiolz_20_4,fiol,gzt20_4,ZT,4,2,8,TB,NA,1
tebiz_11_1,tebi,gzt11_1,ZT,1,1,5.5,TT,NA,1
smbrz_11_1,smbr,gzt11_1,ZT,1,1,3.5,TT,NA,1
smlaz_11_1,smla,gzt11_1,ZT,1,2.5,16,TT,NA,1
